FORT COLLINS
1929-10,0.99
1929-11,0.93
1929-12,0.09
1930-01,0.45
1930-02,0.07
1930-03,0.70
1930-04,0.56
1930-05,4.08
1930-06,1.50
1930-07,0.95
1930-08,5.46
1930-09,0.16
1930-10,0.36
1930-11,0.70
1930-12,0.14
1931-01,0.00
1931-02,1.26
1931-03,0.41
1931-04,1.07
1931-05,2.55
1931-06,1.50
1931-07,0.07
1931-08,0.81
1931-09,0.40
1931-10,1.00
1931-11,0.63
1931-12,0.18
1932-01,0.08
1932-02,0.48
1932-03,1.09
1932-04,0.88
1932-05,2.14
1932-06,1.11
1932-07,2.13
1932-08,3.68
1932-09,0.01
1932-10,0.34
1932-11,0.34
1932-12,0.49
1933-01,0.16
1933-02,0.13
1933-03,0.60
1933-04,1.86
1933-05,4.56
1933-06,0.05
1933-07,0.71
1933-08,4.34
1933-09,2.10
1933-10,0.00
1933-11,0.06
1933-12,1.03
1934-01,0.01
1934-02,1.11
1934-03,0.70
1934-04,1.41
1934-05,1.45
1934-06,1.25
1934-07,1.33
1934-08,0.28
1934-09,0.79
1934-10,0.00
1934-11,0.06
1934-12,T
1935-01,0.07
1935-02,0.89
1935-03,0.21
1935-04,1.24
1935-05,6.71
1935-06,0.62
1935-07,1.14
1935-08,0.50
1935-09,3.29
1935-10,0.61
1935-11,0.66
1935-12,0.00
1936-01,0.04
1936-02,0.39
1936-03,0.71
1936-04,1.17
1936-05,1.10
1936-06,2.90
1936-07,0.95
1936-08,1.46
1936-09,1.11
1936-10,1.38
1936-11,0.18
1936-12,0.38
1937-01,0.36
1937-02,0.53
1937-03,1.14
1937-04,2.23
1937-05,1.48
1937-06,1.94
1937-07,1.18
1937-08,0.63
1937-09,0.09
1937-10,0.71
1937-11,0.56
1937-12,1.52
1938-01,0.42
1938-02,0.27
1938-03,1.32
1938-04,2.47
1938-05,2.70
1938-06,1.81
1938-07,0.93
1938-08,0.47
1938-09,7.34
1938-10,0.72
1938-11,0.54
1938-12,0.76
1939-01,0.41
1939-02,0.60
1939-03,1.60
1939-04,1.42
1939-05,1.56
1939-06,0.43
1939-07,T
1939-08,1.01
1939-09,0.15
1939-10,0.40
1939-11,0.03
1939-12,0.24
1940-01,1.29
1940-02,0.54
1940-03,0.63
1940-04,1.39
1940-05,1.83
1940-06,0.24
1940-07,1.07
1940-08,0.32
1940-09,5.33
1940-10,0.46
1940-11,0.59
1940-12,0.15
1941-01,0.58
1941-02,0.04
1941-03,1.16
1941-04,3.49
1941-05,2.01
1941-06,1.87
1941-07,0.90
1941-08,4.19
1941-09,1.28
1941-10,1.33
1941-11,0.18
1941-12,0.68
1942-01,0.32
1942-02,0.88
1942-03,0.20
1942-04,4.50
1942-05,2.26
1942-06,2.37
1942-07,0.34
1942-08,1.48
1942-09,0.75
1942-10,6.70
1942-11,0.50
1942-12,T
1943-01,0.22
1943-02,0.48
1943-03,0.71
1943-04,1.45
1943-05,5.95
1943-06,1.06
1943-07,0.93
1943-08,0.56
1943-09,0.10
1943-10,0.29
1943-11,0.33
1943-12,0.18
1944-01,0.45
